Time,Action,Data
2015/05/09 13:14:40,Create,"{u'description': u'Make judgments about the mental capacities of a variety of things. We are also running this study with children, and would like to know what adults think as a point of comparison.', u'title': u'Participate in a psychology study about mental capacities', u'url': u'https://web.stanford.edu/~kweisman/GGW-kid/ggw-kid_adult-version/experiment/preview.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 95}, u'frame_height': 420, u'keywords': u'research, psychology, survey, science, mind', u'auto_approval_delay': u'5 minutes', u'reward': 0.32}"
2015/05/09 13:27:57,Add,2 assignments
2015/05/09 13:34:27,Add,2 assignments
2015/05/09 13:58:58,Add,5 assignments
2015/05/09 14:08:12,Add,3 assignments
2015/05/09 14:23:44,Add,2 assignments
2015/05/09 14:25:40,Add,2 assignments
2015/05/09 14:28:51,Add,3 assignments
2015/05/09 14:40:34,Add,3 assignments
2015/05/09 14:40:58,Add,3 assignments
2015/05/09 14:58:04,Add,5 assignments
2015/05/09 17:58:18,Add,2 assignments
2015/05/09 18:06:39,Add,1 assignments
2015/05/09 18:57:12,Add,1 assignments
2015/05/09 19:58:13,Add,1 assignments
2015/05/09 20:07:04,Add,2 assignments
